goods_receipt_item_id,goods_receipt_id,purchase_order_item_id,line_number,product_id,batch_code,receipt_uom_id,received_pac_quantity,accepted_pac_quantity,rejected_pac_quantity,received_base_quantity,accepted_base_quantity,rejected_base_quantity,notes,created_date,created_by,updated_date,updated_by
1,1,1,1,1303,B26-P1303-000001,6,2.0,2.0,0.0,110.0,110.0,0.0,,2026-04-20 08:00:00,system,2026-04-20 08:00:00,system
2,1,2,2,1347,B26-P1347-000002,6,1.0,1.0,0.0,55.0,55.0,0.0,,2026-04-20 08:00:00,system,2026-04-20 08:00:00,system
3,1,3,3,1000,B26-P1000-000003,6,4.0,4.0,0.0,2.0,2.0,0.0,,2026-04-20 08:00:00,system,2026-04-20 08:00:00,system
4,1,4,4,1393,B26-P1393-000004,6,3.0,3.0,0.0,9.0,9.0,0.0,,2026-04-20 08:00:00,system,2026-04-20 08:00:00,system
5,1,6,5,493,B26-P0493-000005,6,17.0,17.0,0.0,20.4,20.4,0.0,,2026-04-20 08:00:00,system,2026-04-20 08:00:00,system
6,1,7,6,515,B26-P0515-000006,6,3.0,3.0,0.0,165.0,165.0,0.0,,2026-04-20 08:00:00,system,2026-04-20 08:00:00,system
7,1,9,7,1410,B26-P1410-000007,6,1.0,1.0,0.0,15.0,15.0,0.0,,2026-04-20 08:00:00,system,2026-04-20 08:00:00,system
8,2,2,1,1347,B26-P1347-000008,6,1.0,1.0,0.0,55.0,55.0,0.0,,2026-04-24 08:00:00,system,2026-04-24 08:00:00,system
9,2,3,2,1000,B26-P1000-000009,6,24.0,24.0,0.0,12.0,12.0,0.0,,2026-04-24 08:00:00,system,2026-04-24 08:00:00,system
10,2,4,3,1393,B26-P1393-000010,6,8.0,8.0,0.0,24.0,24.0,0.0,,2026-04-24 08:00:00,system,2026-04-24 08:00:00,system
11,2,5,4,1475,B26-P1475-000011,6,1.0,1.0,0.0,55.0,55.0,0.0,,2026-04-24 08:00:00,system,2026-04-24 08:00:00,system
12,2,6,5,493,B26-P0493-000012,6,30.0,30.0,0.0,36.0,36.0,0.0,,2026-04-24 08:00:00,system,2026-04-24 08:00:00,system
13,2,9,6,1410,B26-P1410-000013,6,3.0,3.0,0.0,45.0,45.0,0.0,,2026-04-24 08:00:00,system,2026-04-24 08:00:00,system
14,3,14,1,1077,B26-P1077-000014,6,11.0,11.0,0.0,22.0,22.0,0.0,,2026-03-21 08:00:00,system,2026-03-21 08:00:00,system
15,3,15,2,845,B26-P0845-000015,6,5.0,5.0,0.0,1050.0,1050.0,0.0,,2026-03-21 08:00:00,system,2026-03-21 08:00:00,system
16,3,16,3,1079,B26-P1079-000016,6,8.0,8.0,0.0,80.0,80.0,0.0,,2026-03-21 08:00:00,system,2026-03-21 08:00:00,system
17,3,17,4,1028,B26-P1028-000017,6,13.0,13.0,0.0,6.5,6.5,0.0,,2026-03-21 08:00:00,system,2026-03-21 08:00:00,system
18,3,18,5,1207,B26-P1207-000018,6,70.0,70.0,0.0,350.0,350.0,0.0,,2026-03-21 08:00:00,system,2026-03-21 08:00:00,system
19,4,19,1,191,B26-P0191-000019,6,2.0,2.0,0.0,2.0,2.0,0.0,,2026-04-30 08:00:00,system,2026-04-30 08:00:00,system
20,4,20,2,125,B26-P0125-000020,6,2.0,2.0,0.0,420.0,420.0,0.0,,2026-04-30 08:00:00,system,2026-04-30 08:00:00,system
21,4,21,3,1408,B26-P1408-000021,6,6.0,6.0,0.0,30.0,30.0,0.0,,2026-04-30 08:00:00,system,2026-04-30 08:00:00,system
22,4,22,4,306,B26-P0306-000022,6,6.0,6.0,0.0,7.2,7.2,0.0,,2026-04-30 08:00:00,system,2026-04-30 08:00:00,system
23,4,23,5,1040,B26-P1040-000023,6,20.0,20.0,0.0,40.0,40.0,0.0,,2026-04-30 08:00:00,system,2026-04-30 08:00:00,system
24,4,24,6,719,B26-P0719-000024,1,3.0,3.0,0.0,3000.0,3000.0,0.0,,2026-04-30 08:00:00,system,2026-04-30 08:00:00,system
25,5,19,1,191,B26-P0191-000025,6,15.0,15.0,0.0,15.0,15.0,0.0,,2026-05-04 08:00:00,system,2026-05-04 08:00:00,system
26,5,20,2,125,B26-P0125-000026,6,1.0,1.0,0.0,210.0,210.0,0.0,,2026-05-04 08:00:00,system,2026-05-04 08:00:00,system
27,5,21,3,1408,B26-P1408-000027,6,20.0,19.0,1.0,100.0,95.0,5.0,,2026-05-04 08:00:00,system,2026-05-04 08:00:00,system
28,5,22,4,306,B26-P0306-000028,6,24.0,24.0,0.0,28.8,28.8,0.0,,2026-05-04 08:00:00,system,2026-05-04 08:00:00,system
29,5,23,5,1040,B26-P1040-000029,6,4.0,4.0,0.0,8.0,8.0,0.0,,2026-05-04 08:00:00,system,2026-05-04 08:00:00,system
30,6,25,1,764,B26-P0764-000030,6,13.0,13.0,0.0,325.0,325.0,0.0,,2026-05-16 08:00:00,system,2026-05-16 08:00:00,system
31,6,26,2,319,B26-P0319-000031,6,17.0,17.0,0.0,13.6,13.6,0.0,,2026-05-16 08:00:00,system,2026-05-16 08:00:00,system
32,6,27,3,434,B26-P0434-000032,6,9.0,9.0,0.0,135.0,135.0,0.0,,2026-05-16 08:00:00,system,2026-05-16 08:00:00,system
33,6,28,4,268,B26-P0268-000033,6,4.0,4.0,0.0,720.0,720.0,0.0,,2026-05-16 08:00:00,system,2026-05-16 08:00:00,system
34,6,29,5,255,B26-P0255-000034,1,3.0,3.0,0.0,3000.0,3000.0,0.0,,2026-05-16 08:00:00,system,2026-05-16 08:00:00,system
35,6,30,6,218,B26-P0218-000035,6,20.0,19.0,1.0,16.0,15.2,0.8,,2026-05-16 08:00:00,system,2026-05-16 08:00:00,system
36,6,31,7,869,B26-P0869-000036,6,5.0,5.0,0.0,125.0,125.0,0.0,,2026-05-16 08:00:00,system,2026-05-16 08:00:00,system
37,7,25,1,764,B26-P0764-000037,6,1.0,1.0,0.0,25.0,25.0,0.0,,2026-05-21 08:00:00,system,2026-05-21 08:00:00,system
38,7,26,2,319,B26-P0319-000038,6,11.0,11.0,0.0,8.8,8.8,0.0,,2026-05-21 08:00:00,system,2026-05-21 08:00:00,system
39,7,27,3,434,B26-P0434-000039,6,7.0,7.0,0.0,105.0,105.0,0.0,,2026-05-21 08:00:00,system,2026-05-21 08:00:00,system
40,7,28,4,268,B26-P0268-000040,6,2.0,2.0,0.0,360.0,360.0,0.0,,2026-05-21 08:00:00,system,2026-05-21 08:00:00,system
41,7,29,5,255,B26-P0255-000041,1,1.0,1.0,0.0,1000.0,1000.0,0.0,,2026-05-21 08:00:00,system,2026-05-21 08:00:00,system
42,7,30,6,218,B26-P0218-000042,6,40.0,39.0,1.0,32.0,31.2,0.8,,2026-05-21 08:00:00,system,2026-05-21 08:00:00,system
43,7,31,7,869,B26-P0869-000043,6,1.0,1.0,0.0,25.0,25.0,0.0,,2026-05-21 08:00:00,system,2026-05-21 08:00:00,system
44,8,32,1,292,B26-P0292-000044,6,24.0,24.0,0.0,360.0,360.0,0.0,,2026-02-07 08:00:00,system,2026-02-07 08:00:00,system
45,9,33,1,1500,B26-P1500-000045,6,4.0,4.0,0.0,840.0,840.0,0.0,,2026-06-16 08:00:00,system,2026-06-16 08:00:00,system
46,9,34,2,1180,B26-P1180-000046,6,8.0,8.0,0.0,80.0,80.0,0.0,,2026-06-16 08:00:00,system,2026-06-16 08:00:00,system
47,9,35,3,847,B26-P0847-000047,1,1.0,1.0,0.0,500.0,500.0,0.0,,2026-06-16 08:00:00,system,2026-06-16 08:00:00,system
48,9,36,4,1400,B26-P1400-000048,6,6.0,6.0,0.0,300.0,300.0,0.0,,2026-06-16 08:00:00,system,2026-06-16 08:00:00,system
49,10,47,1,463,B26-P0463-000049,6,36.0,36.0,0.0,360.0,360.0,0.0,,2026-05-24 08:00:00,system,2026-05-24 08:00:00,system
50,10,48,2,1232,B26-P1232-000050,6,2.0,2.0,0.0,40.0,40.0,0.0,,2026-05-24 08:00:00,system,2026-05-24 08:00:00,system
51,10,49,3,20,B26-P0020-000051,6,11.0,11.0,0.0,165.0,165.0,0.0,,2026-05-24 08:00:00,system,2026-05-24 08:00:00,system
52,10,50,4,350,B26-P0350-000052,6,16.0,16.0,0.0,16.0,16.0,0.0,,2026-05-24 08:00:00,system,2026-05-24 08:00:00,system
53,10,52,5,218,B26-P0218-000053,6,4.0,4.0,0.0,3.2,3.2,0.0,,2026-05-24 08:00:00,system,2026-05-24 08:00:00,system
54,10,53,6,371,B26-P0371-000054,6,31.0,31.0,0.0,155.0,155.0,0.0,,2026-05-24 08:00:00,system,2026-05-24 08:00:00,system
55,11,46,1,1475,B26-P1475-000055,6,2.0,1.0,1.0,110.0,55.0,55.0,,2026-05-29 08:00:00,system,2026-05-29 08:00:00,system
56,11,47,2,463,B26-P0463-000056,6,4.0,4.0,0.0,40.0,40.0,0.0,,2026-05-29 08:00:00,system,2026-05-29 08:00:00,system
57,11,48,3,1232,B26-P1232-000057,6,6.0,6.0,0.0,120.0,120.0,0.0,,2026-05-29 08:00:00,system,2026-05-29 08:00:00,system
58,11,49,4,20,B26-P0020-000058,6,7.0,6.0,1.0,105.0,90.0,15.0,,2026-05-29 08:00:00,system,2026-05-29 08:00:00,system
59,11,50,5,350,B26-P0350-000059,6,14.0,14.0,0.0,14.0,14.0,0.0,,2026-05-29 08:00:00,system,2026-05-29 08:00:00,system
60,11,51,6,1266,B26-P1266-000060,1,2.0,2.0,0.0,2000.0,2000.0,0.0,,2026-05-29 08:00:00,system,2026-05-29 08:00:00,system
61,11,52,7,218,B26-P0218-000061,6,41.0,40.0,1.0,32.8,32.0,0.8,,2026-05-29 08:00:00,system,2026-05-29 08:00:00,system
62,11,53,8,371,B26-P0371-000062,6,1.0,1.0,0.0,5.0,5.0,0.0,,2026-05-29 08:00:00,system,2026-05-29 08:00:00,system
63,12,71,1,351,B26-P0351-000063,1,1.0,0.0,1.0,1000.0,0.0,1000.0,,2026-06-05 08:00:00,system,2026-06-05 08:00:00,system
64,12,74,2,397,B26-P0397-000064,6,1.0,1.0,0.0,20.0,20.0,0.0,,2026-06-05 08:00:00,system,2026-06-05 08:00:00,system
65,13,74,1,397,B26-P0397-000065,6,1.0,1.0,0.0,20.0,20.0,0.0,,2026-06-08 08:00:00,system,2026-06-08 08:00:00,system
66,13,76,2,349,B26-P0349-000066,6,2.0,2.0,0.0,1.6,1.6,0.0,,2026-06-08 08:00:00,system,2026-06-08 08:00:00,system
67,14,77,1,643,B26-P0643-000067,1,4.0,4.0,0.0,4000.0,4000.0,0.0,,2026-02-08 08:00:00,system,2026-02-08 08:00:00,system
68,14,78,2,639,B26-P0639-000068,6,4.0,4.0,0.0,220.0,220.0,0.0,,2026-02-08 08:00:00,system,2026-02-08 08:00:00,system
69,14,79,3,289,B26-P0289-000069,6,65.0,65.0,0.0,195.0,195.0,0.0,,2026-02-08 08:00:00,system,2026-02-08 08:00:00,system
70,14,80,4,150,B26-P0150-000070,6,25.0,25.0,0.0,250.0,250.0,0.0,,2026-02-08 08:00:00,system,2026-02-08 08:00:00,system
71,14,81,5,495,B26-P0495-000071,6,7.0,7.0,0.0,35.0,35.0,0.0,,2026-02-08 08:00:00,system,2026-02-08 08:00:00,system
72,14,82,6,859,B26-P0859-000072,6,10.0,10.0,0.0,1800.0,1800.0,0.0,,2026-02-08 08:00:00,system,2026-02-08 08:00:00,system
73,15,83,1,348,B26-P0348-000073,1,8.0,8.0,0.0,8000.0,8000.0,0.0,,2026-06-18 08:00:00,system,2026-06-18 08:00:00,system
74,16,84,1,929,B26-P0929-000074,6,8.0,8.0,0.0,440.0,440.0,0.0,,2026-07-08 08:00:00,system,2026-07-08 08:00:00,system
75,17,92,1,857,B26-P0857-000075,6,7.0,7.0,0.0,350.0,350.0,0.0,,2026-04-12 08:00:00,system,2026-04-12 08:00:00,system
76,17,93,2,193,B26-P0193-000076,6,15.0,15.0,0.0,45.0,45.0,0.0,,2026-04-12 08:00:00,system,2026-04-12 08:00:00,system
77,17,94,3,845,B26-P0845-000077,6,2.0,2.0,0.0,420.0,420.0,0.0,,2026-04-12 08:00:00,system,2026-04-12 08:00:00,system
78,17,95,4,389,B26-P0389-000078,6,25.0,25.0,0.0,500.0,500.0,0.0,,2026-04-12 08:00:00,system,2026-04-12 08:00:00,system
79,17,96,5,1127,B26-P1127-000079,6,21.0,21.0,0.0,21.0,21.0,0.0,,2026-04-12 08:00:00,system,2026-04-12 08:00:00,system
80,17,98,6,1398,B26-P1398-000080,6,5.0,5.0,0.0,125.0,125.0,0.0,,2026-04-12 08:00:00,system,2026-04-12 08:00:00,system
81,18,92,1,857,B26-P0857-000081,6,3.0,2.0,1.0,150.0,100.0,50.0,,2026-04-16 08:00:00,system,2026-04-16 08:00:00,system
82,18,94,2,845,B26-P0845-000082,6,3.0,3.0,0.0,630.0,630.0,0.0,,2026-04-16 08:00:00,system,2026-04-16 08:00:00,system
83,18,95,3,389,B26-P0389-000083,6,10.0,10.0,0.0,200.0,200.0,0.0,,2026-04-16 08:00:00,system,2026-04-16 08:00:00,system
84,18,96,4,1127,B26-P1127-000084,6,11.0,11.0,0.0,11.0,11.0,0.0,,2026-04-16 08:00:00,system,2026-04-16 08:00:00,system
85,18,97,5,450,B26-P0450-000085,6,14.0,14.0,0.0,280.0,280.0,0.0,,2026-04-16 08:00:00,system,2026-04-16 08:00:00,system
86,18,98,6,1398,B26-P1398-000086,6,30.0,30.0,0.0,750.0,750.0,0.0,,2026-04-16 08:00:00,system,2026-04-16 08:00:00,system
87,19,100,1,728,B26-P0728-000087,6,4.0,4.0,0.0,200.0,200.0,0.0,,2026-06-29 08:00:00,system,2026-06-29 08:00:00,system
88,19,101,2,1365,B26-P1365-000088,6,4.0,4.0,0.0,220.0,220.0,0.0,,2026-06-29 08:00:00,system,2026-06-29 08:00:00,system
89,19,102,3,1229,B26-P1229-000089,6,15.0,15.0,0.0,45.0,45.0,0.0,,2026-06-29 08:00:00,system,2026-06-29 08:00:00,system
90,19,103,4,502,B26-P0502-000090,6,2.0,2.0,0.0,360.0,360.0,0.0,,2026-06-29 08:00:00,system,2026-06-29 08:00:00,system
91,19,104,5,694,B26-P0694-000091,1,1.0,1.0,0.0,500.0,500.0,0.0,,2026-06-29 08:00:00,system,2026-06-29 08:00:00,system
92,20,107,1,108,B26-P0108-000092,6,2.0,2.0,0.0,110.0,110.0,0.0,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
93,20,108,2,213,B26-P0213-000093,6,3.0,3.0,0.0,150.0,150.0,0.0,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
94,20,109,3,375,B26-P0375-000094,6,6.0,6.0,0.0,150.0,150.0,0.0,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
95,20,111,4,116,B26-P0116-000095,6,17.0,17.0,0.0,85.0,85.0,0.0,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
96,20,114,5,152,B26-P0152-000096,6,1.0,1.0,0.0,20.0,20.0,0.0,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
97,21,107,1,108,B26-P0108-000097,6,1.0,1.0,0.0,55.0,55.0,0.0,,2026-06-27 08:00:00,system,2026-06-27 08:00:00,system
98,21,108,2,213,B26-P0213-000098,6,3.0,3.0,0.0,150.0,150.0,0.0,,2026-06-27 08:00:00,system,2026-06-27 08:00:00,system
99,21,110,3,401,B26-P0401-000099,6,2.0,2.0,0.0,110.0,110.0,0.0,,2026-06-27 08:00:00,system,2026-06-27 08:00:00,system
100,21,111,4,116,B26-P0116-000100,6,1.0,1.0,0.0,5.0,5.0,0.0,,2026-06-27 08:00:00,system,2026-06-27 08:00:00,system
101,21,112,5,284,B26-P0284-000101,6,4.0,4.0,0.0,840.0,840.0,0.0,,2026-06-27 08:00:00,system,2026-06-27 08:00:00,system
102,21,113,6,1212,B26-P1212-000102,1,2.0,2.0,0.0,2000.0,2000.0,0.0,,2026-06-27 08:00:00,system,2026-06-27 08:00:00,system
103,21,114,7,152,B26-P0152-000103,6,6.0,6.0,0.0,120.0,120.0,0.0,,2026-06-27 08:00:00,system,2026-06-27 08:00:00,system
104,22,107,1,108,B26-P0108-000104,6,3.0,3.0,0.0,165.0,165.0,0.0,,2026-06-28 08:00:00,system,2026-06-28 08:00:00,system
105,22,111,2,116,B26-P0116-000105,6,3.0,3.0,0.0,15.0,15.0,0.0,,2026-06-28 08:00:00,system,2026-06-28 08:00:00,system
