supplier_id,supplier_code,supplier_name,supplier_type,contact_person,phone,email,gstin,state_code,address_line1,address_line2,city,state,postal_code,country,lead_time_days,payment_term_id,supplier_status,created_date,created_by,updated_date,updated_by
1,SUP001,Novera Lubricant Manufacturing,manufacturer,Rohan Mehta,020-4108-2637,commercial@noveralu.example,27QRTPL4821M1Z8,27,"Plot 12, Industrial Estate",Bhosari MIDC,Pune,Maharashtra,411026,India,7,3,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
2,SUP002,Brightshore Industrial Oils,manufacturer,Anil Sharma,079-4682-3154,commercial@brightshoreoils.example,24NVMRK7316D1Z4,24,"Survey 44, GIDC Industrial Area",Vatva Phase II,Ahmedabad,Gujarat,382445,India,10,4,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
3,SUP003,Crestline Petrochem Supplies,manufacturer,Neeraj Kapoor,080-4179-2638,sales@crestlinepetrochem.example,29LHTPS5842C1Z7,29,"Block 7, Industrial Layout",Peenya,Bengaluru,Karnataka,560058,India,9,3,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
4,SUP004,Delta Automotive Fluids,manufacturer,Sanjay Patel,020-4631-7284,sales@deltafluids.example,27XQFRE2168K1Z3,27,"Unit 18, Industrial Park",Chakan MIDC,Pune,Maharashtra,410501,India,6,5,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
5,SUP005,Eastern Gear Lubricants,manufacturer,Arindam Bose,033-4018-5263,sales@easterngl.example,19BKMTA9054R1Z6,19,Industrial Plot 31,Dankuni Industrial Zone,Kolkata,West Bengal,712311,India,12,6,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
6,SUP006,Frontier Hydraulic Oils,manufacturer,Vivek Joshi,0731-4917-2635,commercial@frontierhydraulic.example,23CPNVD3471H1Z9,23,"Plot 8, Sector C",Pithampur Industrial Area,Indore,Madhya Pradesh,454775,India,8,3,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
7,SUP007,Greenfield Grease Works,manufacturer,Manish Verma,0120-4186-2735,sales@greenfieldgrease.example,09RSLKG6285P1Z2,09,"Plot 22, Industrial Estate",Site IV,Ghaziabad,Uttar Pradesh,201010,India,11,5,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
8,SUP008,Highland Industrial Fluids,manufacturer,Kiran Desai,022-4928-3164,commercial@highlandfluids.example,27TDMQJ4137A1Z5,27,Warehouse Road Industrial Plot,Taloja MIDC,Navi Mumbai,Maharashtra,410208,India,10,4,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
9,SUP009,Metro Lubricants Distribution,authorized_distributor,Rahul Nair,080-4612-7358,sales@metrolubricants.example,29VKRNB7624S1Z8,29,23 Logistics Park Road,Hosur Road,Bengaluru,Karnataka,560068,India,5,2,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
10,SUP010,Pioneer Mobility Components,authorized_distributor,Akash Malhotra,011-4286-3157,commercial@pioneermobility.example,07HPCWL5389N1Z4,07,"Shed 14, Industrial Park",Patparganj,New Delhi,Delhi,110092,India,4,3,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
