transporter_id,transporter_code,transporter_name,transporter_type,contact_person,phone,email,gstin,state_code,address_line1,address_line2,city,state,postal_code,country,service_mode,contract_start_date,contract_end_date,transporter_status,created_date,created_by,updated_date,updated_by
1,TRN001,SwiftLine Logistics Regional Transport Services,regional,Aarav Mehta,020-5200001,operations@swiftlinelogistics.example,SYN-27-TR-000001,27,"Plot 16, Transport Service Area","Logistics Corridor, Pune",Pune,Maharashtra,411101,India,outbound,2024-01-31,,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
2,TRN002,RoadLink Carriers Local Transport Services,local,Ishaan Mehta,044-5200002,operations@roadlinkcarriers.example,SYN-33-TR-000002,33,"Plot 17, Transport Service Area","Logistics Corridor, Chennai",Chennai,Tamil Nadu,600102,India,inbound,2024-03-01,,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
3,TRN003,PrimeRoute Transport Local Transport Services,local,Rohan Mehta,0755-5200003,operations@primeroutetransport.example,SYN-23-TR-000003,23,"Plot 18, Transport Service Area",,Bhopal,Madhya Pradesh,462103,India,outbound,2024-03-31,,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
4,TRN004,Western Freight Services Regional Transport Services,regional,Kunal Mehta,040-5200004,operations@westernfreightservices.example,SYN-36-TR-000004,36,"Plot 19, Transport Service Area","Logistics Corridor, Hyderabad",Hyderabad,Telangana,500104,India,both,2024-04-30,,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
5,TRN005,Northstar Roadways Local Transport Services,local,Nikhil Mehta,080-5200005,operations@northstarroadways.example,SYN-29-TR-000005,29,"Plot 20, Transport Service Area","Logistics Corridor, Bengaluru",Bengaluru,Karnataka,560105,India,both,2024-05-30,,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
6,TRN006,Deccan Carrier Network Local Transport Services,local,Arjun Mehta,0261-5200006,operations@deccancarriernetwork.example,SYN-24-TR-000006,24,"Plot 21, Transport Service Area",,Surat,Gujarat,395106,India,both,2024-06-29,,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
7,TRN007,MetroRoute Logistics Long Route Transport Services,long_route,Vikram Mehta,0870-5200007,operations@metroroutelogistics.example,SYN-36-TR-000007,36,"Plot 22, Transport Service Area","Logistics Corridor, Warangal",Warangal,Telangana,506107,India,both,2024-07-29,,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
8,TRN008,BluePeak Transport Long Route Transport Services,long_route,Siddharth Mehta,022-5200008,operations@bluepeaktransport.example,SYN-27-TR-000008,27,"Plot 23, Transport Service Area","Logistics Corridor, Thane",Thane,Maharashtra,400108,India,both,2024-08-28,2025-09-02,inactive,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
9,TRN009,CentralTrack Carriers Local Transport Services,local,Aditya Mehta,079-5200009,operations@centraltrackcarriers.example,SYN-24-TR-000009,24,"Plot 24, Transport Service Area",,Ahmedabad,Gujarat,380109,India,outbound,2024-09-27,,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
10,TRN010,SouthGate Logistics Local Transport Services,local,Rahul Mehta,0265-5200010,operations@southgatelogistics.example,SYN-24-TR-000010,24,"Plot 25, Transport Service Area","Logistics Corridor, Vadodara",Vadodara,Gujarat,390110,India,outbound,2024-10-27,,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
