customer_id,customer_code,customer_name,customer_type,contact_person,phone,email,gstin,state_code,billing_address_line1,billing_address_line2,billing_city,billing_state,billing_postal_code,country,payment_term_id,credit_limit,customer_status,created_date,created_by,updated_date,updated_by
1,CUST0001,Asterline Auto & Machinery,Dealer,Aarav Mehta,020-4108001,sales@asterlineautomachinery.example,SYN-27-000001,27,"Plot 11, Industrial Estate","Sector 2, Chhatrapati Sambhajinagar Business District",Chhatrapati Sambhajinagar,Maharashtra,431114,India,5,2812000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
2,CUST0002,Westbridge Auto & Machinery,Dealer,Ishaan Mehta,022-4108002,commercial@westbridgeautomachinery.example,SYN-27-000002,27,"Plot 12, Logistics Park","Sector 3, Navi Mumbai Business District",Navi Mumbai,Maharashtra,400131,India,3,2022000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
3,CUST0003,Crestmark Fleet Systems,OEM / Institutional,Rohan Mehta,040-4108003,sourcing@crestmarkfleetsystems.example,SYN-36-000003,36,"Plot 13, Commercial Zone","Sector 4, Warangal Business District",Warangal,Telangana,506107,India,4,968000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
4,CUST0004,Pioneer Industrial Distribution,Distributor,Kunal Mehta,0120-4108004,sales@pioneerindustrialdistribution.example,SYN-09-000004,09,"Plot 14, Business Park",,Noida,Uttar Pradesh,201106,India,3,1329000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
5,CUST0005,Riverton Process Industries,Industrial,Nikhil Mehta,0522-4108005,commercial@rivertonprocessindustries.example,SYN-09-000005,09,"Plot 15, Industrial Area","Sector 6, Noida Business District",Noida,Uttar Pradesh,201109,India,2,3689000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
6,CUST0006,Northfield Fleet Systems,OEM / Institutional,Arjun Mehta,022-4108006,sourcing@northfieldfleetsystems.example,SYN-27-000006,27,"Plot 16, Industrial Estate","Sector 7, Nashik Business District",Nashik,Maharashtra,422127,India,5,905000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
7,CUST0007,Silveroak Process Industries,Industrial,Vikram Mehta,011-4108007,procurement@silveroakprocessindustries.example,SYN-07-000007,07,"Plot 17, Logistics Park","Sector 8, New Delhi Business District",New Delhi,Delhi,110102,India,2,3597000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
8,CUST0008,Grandwell Auto & Machinery,Dealer,Siddharth Mehta,0836-4108008,commercial@grandwellautomachinery.example,SYN-29-000008,29,"Plot 18, Commercial Zone",,Hubballi,Karnataka,580110,India,2,220000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
9,CUST0009,Summit Auto & Machinery,Dealer,Aditya Mehta,079-4108009,accounts@summitautomachinery.example,SYN-24-000009,24,"Plot 19, Business Park","Sector 10, Vadodara Business District",Vadodara,Gujarat,390101,India,3,3382000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
10,CUST0010,Bluecrest Auto & Machinery,Dealer,Rahul Mehta,0422-4108010,sales@bluecrestautomachinery.example,SYN-33-000010,33,"Plot 20, Industrial Area","Sector 11, Chennai Business District",Chennai,Tamil Nadu,600104,India,3,853000.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
