customer_location_id,customer_id,location_code,location_name,contact_person,phone,address_line1,address_line2,city,state,postal_code,country,is_default,location_status,created_date,created_by,updated_date,updated_by
1,1,CUST0001-SHIP-01,Asterline Auto & Machinery Primary Ship-To,Aarav Mehta,020-4108001,"Plot 11, Industrial Estate","Sector 2, Chhatrapati Sambhajinagar Business District",Chhatrapati Sambhajinagar,Maharashtra,431114,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
2,2,CUST0002-SHIP-01,Westbridge Auto & Machinery Primary Ship-To,Ishaan Mehta,022-4108002,"Plot 12, Logistics Park","Sector 3, Navi Mumbai Business District",Navi Mumbai,Maharashtra,400131,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
3,2,CUST0002-SHIP-02,Westbridge Auto & Machinery Distribution Hub 2,Ishaan Mehta,022-4108002,"Plot 28, Distribution Hub","Sector 5, Nashik Logistics District",Nashik,Maharashtra,422216,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
4,3,CUST0003-SHIP-01,Crestmark Fleet Systems Primary Ship-To,Rohan Mehta,040-4108003,"Plot 13, Commercial Zone","Sector 4, Warangal Business District",Warangal,Telangana,506107,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
5,4,CUST0004-SHIP-01,Pioneer Industrial Distribution Primary Ship-To,Kunal Mehta,0120-4108004,"Plot 14, Business Park",,Noida,Uttar Pradesh,201106,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
6,5,CUST0005-SHIP-01,Riverton Process Industries Primary Ship-To,Nikhil Mehta,0522-4108005,"Plot 15, Industrial Area","Sector 6, Noida Business District",Noida,Uttar Pradesh,201109,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
7,6,CUST0006-SHIP-01,Northfield Fleet Systems Primary Ship-To,Arjun Mehta,022-4108006,"Plot 16, Industrial Estate","Sector 7, Nashik Business District",Nashik,Maharashtra,422127,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
8,7,CUST0007-SHIP-01,Silveroak Process Industries Primary Ship-To,Vikram Mehta,011-4108007,"Plot 17, Logistics Park","Sector 8, New Delhi Business District",New Delhi,Delhi,110102,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
9,8,CUST0008-SHIP-01,Grandwell Auto & Machinery Primary Ship-To,Siddharth Mehta,0836-4108008,"Plot 18, Commercial Zone",,Hubballi,Karnataka,580110,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
10,9,CUST0009-SHIP-01,Summit Auto & Machinery Primary Ship-To,Aditya Mehta,079-4108009,"Plot 19, Business Park","Sector 10, Vadodara Business District",Vadodara,Gujarat,390101,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
11,10,CUST0010-SHIP-01,Bluecrest Auto & Machinery Primary Ship-To,Rahul Mehta,0422-4108010,"Plot 20, Industrial Area","Sector 11, Chennai Business District",Chennai,Tamil Nadu,600104,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
12,11,CUST0011-SHIP-01,Trident Industrial Distribution Primary Ship-To,Neeraj Mehta,0836-4108011,"Plot 21, Industrial Estate","Sector 12, Bengaluru Business District",Bengaluru,Karnataka,560121,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
13,11,CUST0011-SHIP-02,Trident Industrial Distribution Distribution Hub 2,Neeraj Mehta,0836-4108011,"Plot 55, Distribution Hub","Sector 2, Mysuru Logistics District",Mysuru,Karnataka,570225,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
14,11,CUST0011-SHIP-03,Trident Industrial Distribution Service Centre 3,Neeraj Mehta,0836-4108011,"Plot 56, Service Centre","Sector 3, Bengaluru Logistics District",Bengaluru,Karnataka,560232,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
15,12,CUST0012-SHIP-01,Everstone Industrial Distribution Primary Ship-To,Amit Mehta,0281-4108012,"Plot 22, Logistics Park",,Vadodara,Gujarat,390125,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
16,12,CUST0012-SHIP-02,Everstone Industrial Distribution Distribution Hub 2,Amit Mehta,0281-4108012,"Plot 58, Distribution Hub","Sector 3, Ahmedabad Logistics District",Ahmedabad,Gujarat,380226,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
17,13,CUST0013-SHIP-01,Harborline Auto & Machinery Primary Ship-To,Aarav Shah,020-4108013,"Plot 23, Commercial Zone","Sector 2, Chhatrapati Sambhajinagar Business District",Chhatrapati Sambhajinagar,Maharashtra,431104,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
18,13,CUST0013-SHIP-02,Harborline Auto & Machinery Distribution Hub 2,Aarav Shah,020-4108013,"Plot 61, Distribution Hub","Sector 4, Nagpur Logistics District",Nagpur,Maharashtra,440227,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
19,13,CUST0013-SHIP-03,Harborline Auto & Machinery Service Centre 3,Aarav Shah,020-4108013,"Plot 62, Service Centre","Sector 5, Chhatrapati Sambhajinagar Logistics District",Chhatrapati Sambhajinagar,Maharashtra,431234,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
20,14,CUST0014-SHIP-01,Primegate Fleet Systems Primary Ship-To,Ishaan Shah,0755-4108014,"Plot 24, Business Park","Sector 3, Bhopal Business District",Bhopal,Madhya Pradesh,462119,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
21,15,CUST0015-SHIP-01,Stonefield Auto & Machinery Primary Ship-To,Rohan Shah,044-4108015,"Plot 25, Industrial Area","Sector 4, Coimbatore Business District",Coimbatore,Tamil Nadu,641101,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
22,16,CUST0016-SHIP-01,Clearpath Industrial Distribution Primary Ship-To,Kunal Shah,080-4108016,"Plot 26, Industrial Estate",,Bengaluru,Karnataka,560124,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
23,16,CUST0016-SHIP-02,Clearpath Industrial Distribution Distribution Hub 2,Kunal Shah,080-4108016,"Plot 70, Distribution Hub","Sector 7, Hubballi Logistics District",Hubballi,Karnataka,580230,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
24,16,CUST0016-SHIP-03,Clearpath Industrial Distribution Service Centre 3,Kunal Shah,080-4108016,"Plot 71, Service Centre","Sector 8, Mysuru Logistics District",Mysuru,Karnataka,570237,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
25,17,CUST0017-SHIP-01,Vertex Industrial Distribution Primary Ship-To,Nikhil Shah,0141-4108017,"Plot 27, Logistics Park","Sector 6, Jodhpur Business District",Jodhpur,Rajasthan,342107,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
26,18,CUST0018-SHIP-01,Oakridge Industrial Distribution Primary Ship-To,Arjun Shah,0755-4108018,"Plot 28, Commercial Zone","Sector 7, Indore Business District",Indore,Madhya Pradesh,452112,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
27,19,CUST0019-SHIP-01,Redwood Process Industries Primary Ship-To,Vikram Shah,080-4108019,"Plot 29, Business Park","Sector 8, Bengaluru Business District",Bengaluru,Karnataka,560112,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
28,20,CUST0020-SHIP-01,Meadowline Process Industries Primary Ship-To,Siddharth Shah,0870-4108020,"Plot 30, Industrial Area",,Warangal,Telangana,506105,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
29,20,CUST0020-SHIP-02,Meadowline Process Industries Distribution Hub 2,Siddharth Shah,0870-4108020,"Plot 82, Distribution Hub","Sector 11, Hyderabad Logistics District",Hyderabad,Telangana,500234,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
30,20,CUST0020-SHIP-03,Meadowline Process Industries Service Centre 3,Siddharth Shah,0870-4108020,"Plot 83, Service Centre","Sector 12, Warangal Logistics District",Warangal,Telangana,506241,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
31,21,CUST0021-SHIP-01,Cedarpoint Auto & Machinery Primary Ship-To,Aditya Shah,0731-4108021,"Plot 31, Industrial Estate","Sector 10, Bhopal Business District",Bhopal,Madhya Pradesh,462103,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
32,21,CUST0021-SHIP-02,Cedarpoint Auto & Machinery Distribution Hub 2,Aditya Shah,0731-4108021,"Plot 85, Distribution Hub","Sector 12, Bhopal Logistics District",Bhopal,Madhya Pradesh,462235,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
33,21,CUST0021-SHIP-03,Cedarpoint Auto & Machinery Service Centre 3,Aditya Shah,0731-4108021,"Plot 86, Service Centre","Sector 1, Indore Logistics District",Indore,Madhya Pradesh,452242,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
34,21,CUST0021-SHIP-04,Cedarpoint Auto & Machinery Industrial Depot 4,Aditya Shah,0731-4108021,"Plot 87, Industrial Depot","Sector 2, Bhopal Logistics District",Bhopal,Madhya Pradesh,462249,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
35,22,CUST0022-SHIP-01,Highland Auto & Machinery Primary Ship-To,Rahul Shah,0291-4108022,"Plot 32, Logistics Park","Sector 11, Jaipur Business District",Jaipur,Rajasthan,302100,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
36,22,CUST0022-SHIP-02,Highland Auto & Machinery Distribution Hub 2,Rahul Shah,0291-4108022,"Plot 88, Distribution Hub","Sector 1, Jaipur Logistics District",Jaipur,Rajasthan,302236,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
37,23,CUST0023-SHIP-01,Brookfield Industrial Distribution Primary Ship-To,Neeraj Shah,0253-4108023,"Plot 33, Commercial Zone","Sector 12, Navi Mumbai Business District",Navi Mumbai,Maharashtra,400126,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
38,23,CUST0023-SHIP-02,Brookfield Industrial Distribution Distribution Hub 2,Neeraj Shah,0253-4108023,"Plot 91, Distribution Hub","Sector 2, Nagpur Logistics District",Nagpur,Maharashtra,440237,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
39,24,CUST0024-SHIP-01,Eastmark Industrial Distribution Primary Ship-To,Amit Shah,0281-4108024,"Plot 34, Business Park",,Vadodara,Gujarat,390129,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
40,24,CUST0024-SHIP-02,Eastmark Industrial Distribution Distribution Hub 2,Amit Shah,0281-4108024,"Plot 94, Distribution Hub","Sector 3, Ahmedabad Logistics District",Ahmedabad,Gujarat,380238,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
41,24,CUST0024-SHIP-03,Eastmark Industrial Distribution Service Centre 3,Amit Shah,0281-4108024,"Plot 95, Service Centre","Sector 4, Vadodara Logistics District",Vadodara,Gujarat,390245,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
42,25,CUST0025-SHIP-01,Fairview Industrial Distribution Primary Ship-To,Aarav Kapoor,0120-4108025,"Plot 35, Industrial Area","Sector 2, Lucknow Business District",Lucknow,Uttar Pradesh,226101,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
43,26,CUST0026-SHIP-01,Lakeside Industrial Distribution Primary Ship-To,Ishaan Kapoor,0832-4108026,"Plot 36, Industrial Estate","Sector 3, Panaji Business District",Panaji,Goa,403102,India,True,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
44,26,CUST0026-SHIP-02,Lakeside Industrial Distribution Distribution Hub 2,Ishaan Kapoor,0832-4108026,"Plot 20, Distribution Hub","Sector 5, Panaji Logistics District",Panaji,Goa,403240,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
45,26,CUST0026-SHIP-03,Lakeside Industrial Distribution Service Centre 3,Ishaan Kapoor,0832-4108026,"Plot 21, Service Centre","Sector 6, Margao Logistics District",Margao,Goa,403247,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
46,26,CUST0026-SHIP-04,Lakeside Industrial Distribution Industrial Depot 4,Ishaan Kapoor,0832-4108026,"Plot 22, Industrial Depot","Sector 7, Panaji Logistics District",Panaji,Goa,403254,India,False,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
