product_id,sku,product_name,brand_id,sub_category_id,base_uom_id,pack_type,pack_size,base_quantity_per_pac,viscosity_grade,product_status,created_date,created_by,updated_date,updated_by
1,NR-AEO-0001,Northmark RoadShield 0W-20 1.2 L,1,1,1,Bottle,1.2 L,1.2,0W-20,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
2,NR-AEO-0002,Ironcrest DriveCore 0W-20 3 L,2,1,1,Bottle,3 L,3,0W-20,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
3,NR-AEO-0003,Redstone EngineMax 0W-20 5 L,3,1,1,Bucket,5 L,5,0W-20,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
4,NR-AEO-0004,Westmark AutoPrime 0W-20 10 L,4,1,1,Bucket,10 L,10,0W-20,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
5,NR-AEO-0005,Crestfield RoadShield 5W-30 15 L,5,1,1,Bucket,15 L,15,5W-30,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
6,NR-AEO-0006,Stonebridge DriveCore 5W-30 20 L,6,1,1,Bucket,20 L,20,5W-30,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
7,NR-AEO-0007,Ridgewell EngineMax 5W-30 25 L,7,1,1,Bucket,25 L,25,5W-30,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
8,NR-AEO-0008,Millbrook AutoPrime 5W-30 30 L,8,1,1,Bucket,30 L,30,5W-30,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
9,NR-AEO-0009,Highpoint RoadShield 5W-40 50 L,9,1,1,Drum,50 L,50,5W-40,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
10,NR-AEO-0010,Fieldmark DriveCore 5W-40 55 L,10,1,1,Drum,55 L,55,5W-40,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
11,NR-AEO-0011,Northmark EngineMax 5W-40 180 L,1,1,1,Drum,180 L,180,5W-40,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
12,NR-AEO-0012,Ironcrest AutoPrime 5W-40 210 L,2,1,1,Barrel,210 L,210,5W-40,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
13,NR-AEO-0013,Redstone RoadShield 10W-40 1000 L,3,1,1,Bulk,1000 L,1000,10W-40,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
14,NR-AEO-0014,Westmark DriveCore 10W-40 800 ML,4,1,1,Bottle,800 ML,0.8,10W-40,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
15,NR-AEO-0015,Crestfield EngineMax 10W-40 1 L,5,1,1,Bottle,1 L,1,10W-40,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
16,NR-AEO-0016,Stonebridge AutoPrime 10W-40 1.2 L,6,1,1,Bottle,1.2 L,1.2,10W-40,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
17,NR-AEO-0017,Ridgewell RoadShield 0W-20 3 L,7,1,1,Bottle,3 L,3,0W-20,discontinued,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
18,NR-AEO-0018,Millbrook DriveCore 0W-20 5 L,8,1,1,Bucket,5 L,5,0W-20,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
19,NR-AEO-0019,Highpoint EngineMax 0W-20 10 L,9,1,1,Bucket,10 L,10,0W-20,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
20,NR-AEO-0020,Fieldmark AutoPrime 0W-20 15 L,10,1,1,Bucket,15 L,15,0W-20,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
21,NR-AEO-0021,Northmark RoadShield 5W-30 20 L,1,1,1,Bucket,20 L,20,5W-30,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
22,NR-AEO-0022,Ironcrest DriveCore 5W-30 25 L,2,1,1,Bucket,25 L,25,5W-30,inactive,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
23,NR-AEO-0023,Redstone EngineMax 5W-30 30 L,3,1,1,Bucket,30 L,30,5W-30,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
24,NR-AEO-0024,Westmark AutoPrime 5W-30 50 L,4,1,1,Drum,50 L,50,5W-30,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
25,NR-AEO-0025,Crestfield RoadShield 5W-40 55 L,5,1,1,Drum,55 L,55,5W-40,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
26,NR-AEO-0026,Stonebridge DriveCore 5W-40 180 L,6,1,1,Drum,180 L,180,5W-40,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
27,NR-AEO-0027,Ridgewell EngineMax 5W-40 210 L,7,1,1,Barrel,210 L,210,5W-40,discontinued,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
28,NR-AEO-0028,Millbrook AutoPrime 5W-40 1000 L,8,1,1,Bulk,1000 L,1000,5W-40,inactive,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
29,NR-AEO-0029,Highpoint RoadShield 10W-40 800 ML,9,1,1,Bottle,800 ML,0.8,10W-40,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
30,NR-AEO-0030,Fieldmark DriveCore 10W-40 1 L,10,1,1,Bottle,1 L,1,10W-40,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
