purchase_order_item_id,purchase_order_id,line_number,product_id,purchase_uom_id,ordered_pac_quantity,ordered_base_quantity,unit_cost,notes,created_date,created_by,updated_date,updated_by
1,1,1,1303,6,4.0,220.0,17640.92,,2026-04-07 08:00:00,system,2026-04-07 08:00:00,system
2,1,2,1347,6,4.0,220.0,17768.03,,2026-04-07 08:00:00,system,2026-04-07 08:00:00,system
3,1,3,1000,6,44.0,22.0,178.19,,2026-04-07 08:00:00,system,2026-04-07 08:00:00,system
4,1,4,1393,6,22.0,66.0,613.37,,2026-04-07 08:00:00,system,2026-04-07 08:00:00,system
5,1,5,1475,6,4.0,220.0,11700.37,,2026-04-07 08:00:00,system,2026-04-07 08:00:00,system
6,1,6,493,6,55.0,66.0,274.28,,2026-04-07 08:00:00,system,2026-04-07 08:00:00,system
7,1,7,515,6,6.0,330.0,10285.78,,2026-04-07 08:00:00,system,2026-04-07 08:00:00,system
8,1,8,655,6,2.0,420.0,37499.96,,2026-04-07 08:00:00,system,2026-04-07 08:00:00,system
9,1,9,1410,6,24.0,360.0,3213.01,,2026-04-07 08:00:00,system,2026-04-07 08:00:00,system
10,2,1,1074,6,84.0,33.6,143.35,,2026-05-02 08:00:00,system,2026-05-02 08:00:00,system
11,2,2,370,6,36.0,108.0,669.88,,2026-05-02 08:00:00,system,2026-05-02 08:00:00,system
12,2,3,637,6,18.0,540.0,5507.37,,2026-05-02 08:00:00,system,2026-05-02 08:00:00,system
13,2,4,1374,6,10.0,1800.0,37250.84,,2026-05-02 08:00:00,system,2026-05-02 08:00:00,system
14,3,1,1077,6,11.0,22.0,706.26,,2026-03-14 08:00:00,system,2026-03-14 08:00:00,system
15,3,2,845,6,5.0,1050.0,41802.82,,2026-03-14 08:00:00,system,2026-03-14 08:00:00,system
16,3,3,1079,6,8.0,80.0,3451.32,,2026-03-14 08:00:00,system,2026-03-14 08:00:00,system
17,3,4,1028,6,13.0,6.5,171.88,,2026-03-14 08:00:00,system,2026-03-14 08:00:00,system
18,3,5,1207,6,70.0,350.0,670.58,,2026-03-14 08:00:00,system,2026-03-14 08:00:00,system
19,4,1,191,6,24.0,24.0,244.76,,2026-04-19 08:00:00,system,2026-04-19 08:00:00,system
20,4,2,125,6,4.0,840.0,49623.03,,2026-04-19 08:00:00,system,2026-04-19 08:00:00,system
21,4,3,1408,6,30.0,150.0,1034.44,,2026-04-19 08:00:00,system,2026-04-19 08:00:00,system
22,4,4,306,6,60.0,72.0,270.77,,2026-04-19 08:00:00,system,2026-04-19 08:00:00,system
23,4,5,1040,6,24.0,48.0,683.62,,2026-04-19 08:00:00,system,2026-04-19 08:00:00,system
24,4,6,719,1,4.0,4000.0,176.92,,2026-04-19 08:00:00,system,2026-04-19 08:00:00,system
25,5,1,764,6,14.0,350.0,5826.88,,2026-05-08 08:00:00,system,2026-05-08 08:00:00,system
26,5,2,319,6,28.0,22.4,196.11,,2026-05-08 08:00:00,system,2026-05-08 08:00:00,system
27,5,3,434,6,16.0,240.0,3625.35,,2026-05-08 08:00:00,system,2026-05-08 08:00:00,system
28,5,4,268,6,6.0,1080.0,45316.19,,2026-05-08 08:00:00,system,2026-05-08 08:00:00,system
29,5,5,255,1,4.0,4000.0,242.76,,2026-05-08 08:00:00,system,2026-05-08 08:00:00,system
30,5,6,218,6,60.0,48.0,201.91,,2026-05-08 08:00:00,system,2026-05-08 08:00:00,system
31,5,7,869,6,6.0,150.0,5982.81,,2026-05-08 08:00:00,system,2026-05-08 08:00:00,system
32,6,1,292,6,24.0,360.0,3763.28,,2026-02-01 08:00:00,system,2026-02-01 08:00:00,system
33,7,1,1500,6,5.0,1050.0,47749.91,,2026-06-06 08:00:00,system,2026-06-06 08:00:00,system
34,7,2,1180,6,14.0,140.0,1578.66,,2026-06-06 08:00:00,system,2026-06-06 08:00:00,system
35,7,3,847,1,2.0,1000.0,197.85,,2026-06-06 08:00:00,system,2026-06-06 08:00:00,system
36,7,4,1400,6,6.0,300.0,11847.52,,2026-06-06 08:00:00,system,2026-06-06 08:00:00,system
37,8,1,240,6,30.0,600.0,4670.54,,2026-05-13 08:00:00,system,2026-05-13 08:00:00,system
38,8,2,1098,6,4.0,40.0,3405.71,,2026-05-13 08:00:00,system,2026-05-13 08:00:00,system
39,8,3,209,6,28.0,420.0,3652.23,,2026-05-13 08:00:00,system,2026-05-13 08:00:00,system
40,8,4,337,6,48.0,144.0,640.66,,2026-05-13 08:00:00,system,2026-05-13 08:00:00,system
