goods_receipt_id,grn_number,purchase_order_id,warehouse_id,vehicle_id,receipt_date,receipt_status,notes,created_date,created_by,updated_date,updated_by
1,GRN2026000001,1,7,43,2026-04-20,received,,2026-04-20 08:00:00,system,2026-04-20 08:00:00,system
2,GRN2026000002,1,7,62,2026-04-24,received,,2026-04-24 08:00:00,system,2026-04-24 08:00:00,system
3,GRN2026000003,3,4,,2026-03-21,received,,2026-03-21 08:00:00,system,2026-03-21 08:00:00,system
4,GRN2026000004,4,7,,2026-04-30,received,,2026-04-30 08:00:00,system,2026-04-30 08:00:00,system
5,GRN2026000005,4,7,,2026-05-04,received,,2026-05-04 08:00:00,system,2026-05-04 08:00:00,system
6,GRN2026000006,5,7,62,2026-05-16,received,,2026-05-16 08:00:00,system,2026-05-16 08:00:00,system
7,GRN2026000007,5,7,21,2026-05-21,received,,2026-05-21 08:00:00,system,2026-05-21 08:00:00,system
8,GRN2026000008,6,1,,2026-02-07,received,,2026-02-07 08:00:00,system,2026-02-07 08:00:00,system
9,GRN2026000009,7,8,,2026-06-16,received,,2026-06-16 08:00:00,system,2026-06-16 08:00:00,system
10,GRN2026000010,9,4,52,2026-05-24,received,,2026-05-24 08:00:00,system,2026-05-24 08:00:00,system
11,GRN2026000011,9,4,51,2026-05-29,received,,2026-05-29 08:00:00,system,2026-05-29 08:00:00,system
12,GRN2026000012,12,3,97,2026-06-05,received,,2026-06-05 08:00:00,system,2026-06-05 08:00:00,system
13,GRN2026000013,12,3,90,2026-06-08,received,,2026-06-08 08:00:00,system,2026-06-08 08:00:00,system
14,GRN2026000014,13,6,82,2026-02-08,received,,2026-02-08 08:00:00,system,2026-02-08 08:00:00,system
15,GRN2026000015,14,6,,2026-06-18,received,,2026-06-18 08:00:00,system,2026-06-18 08:00:00,system
16,GRN2026000016,15,6,120,2026-07-08,received,,2026-07-08 08:00:00,system,2026-07-08 08:00:00,system
17,GRN2026000017,17,1,11,2026-04-12,received,,2026-04-12 08:00:00,system,2026-04-12 08:00:00,system
18,GRN2026000018,17,1,22,2026-04-16,received,,2026-04-16 08:00:00,system,2026-04-16 08:00:00,system
19,GRN2026000019,18,4,86,2026-06-29,received,,2026-06-29 08:00:00,system,2026-06-29 08:00:00,system
20,GRN2026000020,20,3,,2026-06-26,received,,2026-06-26 08:00:00,system,2026-06-26 08:00:00,system
21,GRN2026000021,20,3,44,2026-06-27,received,,2026-06-27 08:00:00,system,2026-06-27 08:00:00,system
22,GRN2026000022,20,3,122,2026-06-28,received,,2026-06-28 08:00:00,system,2026-06-28 08:00:00,system
23,GRN2026000023,21,1,60,2026-01-28,received,,2026-01-28 08:00:00,system,2026-01-28 08:00:00,system
24,GRN2026000024,22,6,128,2026-07-13,received,,2026-07-13 08:00:00,system,2026-07-13 08:00:00,system
25,GRN2026000025,23,3,89,2026-07-04,received,,2026-07-04 08:00:00,system,2026-07-04 08:00:00,system
26,GRN2026000026,23,3,59,2026-07-06,received,,2026-07-06 08:00:00,system,2026-07-06 08:00:00,system
27,GRN2026000027,24,3,81,2026-03-28,received,,2026-03-28 08:00:00,system,2026-03-28 08:00:00,system
28,GRN2026000028,24,3,32,2026-03-31,received,,2026-03-31 08:00:00,system,2026-03-31 08:00:00,system
29,GRN2026000029,25,8,,2026-03-09,received,,2026-03-09 08:00:00,system,2026-03-09 08:00:00,system
