location_id,warehouse_id,location_code,location_name,zone_code,aisle_no,rack_no,bin_no,location_type,storage_mode,max_capacity_ltr,location_status,created_date,created_by,updated_date,updated_by
1,1,REC-01,Receiving Bay 01,REC,,,,receiving,covered,8512.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
2,1,REC-02,Receiving Bay 02,REC,,,,receiving,covered,8512.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
3,1,REC-03,Receiving Bay 03,REC,,,,receiving,covered,8512.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
4,1,REC-04,Receiving Bay 04,REC,,,,receiving,covered,8512.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
5,1,REC-05,Receiving Bay 05,REC,,,,receiving,covered,8512.0,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
6,1,Z01-A01-R01-B01,Storage Z01 A01 R01 B01,Z01,A01,R01,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
7,1,Z01-A01-R02-B01,Storage Z01 A01 R02 B01,Z01,A01,R02,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
8,1,Z01-A01-R03-B01,Storage Z01 A01 R03 B01,Z01,A01,R03,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
9,1,Z01-A01-R04-B01,Storage Z01 A01 R04 B01,Z01,A01,R04,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
10,1,Z01-A01-R05-B01,Storage Z01 A01 R05 B01,Z01,A01,R05,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
11,1,Z01-A02-R01-B01,Storage Z01 A02 R01 B01,Z01,A02,R01,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
12,1,Z01-A02-R02-B01,Storage Z01 A02 R02 B01,Z01,A02,R02,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
13,1,Z01-A02-R03-B01,Storage Z01 A02 R03 B01,Z01,A02,R03,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
14,1,Z01-A02-R04-B01,Storage Z01 A02 R04 B01,Z01,A02,R04,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
15,1,Z01-A02-R05-B01,Storage Z01 A02 R05 B01,Z01,A02,R05,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
16,1,Z01-A03-R01-B01,Storage Z01 A03 R01 B01,Z01,A03,R01,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
17,1,Z01-A03-R02-B01,Storage Z01 A03 R02 B01,Z01,A03,R02,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
18,1,Z01-A03-R03-B01,Storage Z01 A03 R03 B01,Z01,A03,R03,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
19,1,Z01-A03-R04-B01,Storage Z01 A03 R04 B01,Z01,A03,R04,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
20,1,Z01-A03-R05-B01,Storage Z01 A03 R05 B01,Z01,A03,R05,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
21,1,Z01-A04-R01-B01,Storage Z01 A04 R01 B01,Z01,A04,R01,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
22,1,Z01-A04-R02-B01,Storage Z01 A04 R02 B01,Z01,A04,R02,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
23,1,Z01-A04-R03-B01,Storage Z01 A04 R03 B01,Z01,A04,R03,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
24,1,Z01-A04-R04-B01,Storage Z01 A04 R04 B01,Z01,A04,R04,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
25,1,Z01-A04-R05-B01,Storage Z01 A04 R05 B01,Z01,A04,R05,B01,storage,mixed,4836.36,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
