product_supplier_id,product_id,supplier_id,supplier_product_code,supplier_product_name,purchase_uom_id,unit_purchase_price,minimum_order_quantity,lead_time_days,is_primary_source,relationship_status,effective_from,effective_to,created_date,created_by,updated_date,updated_by
1,1,15,SUP015-AEO-0001,Northmark RoadShield 0W-20 (1.2 L),6,337.45,17.0,6,False,active,2024-06-17,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
2,1,13,SUP013-AEO-0001,Northmark RoadShield 0W-20 (1.2 L),6,320.56,16.0,4,True,active,2024-04-14,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
3,1,2,SUP002-AEO-0001,Northmark RoadShield 0W-20 (1.2 L),6,298.89,13.0,11,False,active,2024-11-12,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
4,2,2,SUP002-AEO-0002,Ironcrest DriveCore 0W-20 (3 L),6,719.24,13.0,13,False,active,2024-10-09,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
5,2,11,SUP011-AEO-0002,Ironcrest DriveCore 0W-20 (3 L),6,781.49,14.0,6,True,active,2024-05-13,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
6,2,5,SUP005-AEO-0002,Ironcrest DriveCore 0W-20 (3 L),6,710.13,14.0,13,False,active,2024-11-05,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
7,3,15,SUP015-AEO-0003,Redstone EngineMax 0W-20 (5 L),6,1384.8,7.0,6,False,active,2025-03-31,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
8,3,4,SUP004-AEO-0003,Redstone EngineMax 0W-20 (5 L),6,1239.17,6.0,8,True,active,2024-08-29,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
9,4,16,SUP016-AEO-0004,Westmark AutoPrime 0W-20 (10 L),6,2646.36,7.0,8,True,active,2025-03-17,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
10,4,7,SUP007-AEO-0004,Westmark AutoPrime 0W-20 (10 L),6,2378.41,5.0,12,False,active,2025-03-03,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
11,5,4,SUP004-AEO-0005,Crestfield RoadShield 5W-30 (15 L),6,3768.02,6.0,4,True,active,2024-11-16,,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
