vehicle_id,transporter_id,vehicle_number,vehicle_type,body_type,capacity_tons,capacity_ltr,registration_state,ownership_type,vehicle_status,created_date,created_by,updated_date,updated_by
1,1,SYN-MH-0001,Medium Truck,closed,10.13,9559.2,Maharashtra,attached,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
2,14,SYN-KA-0002,Container Truck,container,17.94,16100.7,Karnataka,owned,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
3,2,SYN-TN-0003,Mini Truck,closed,2.44,1375.42,Tamil Nadu,hired,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
4,18,SYN-DL-0004,Heavy Truck,closed,16.14,10720.5,Delhi,attached,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
5,6,SYN-GJ-0005,Heavy Truck,closed,14.73,8259.02,Gujarat,hired,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
6,8,SYN-MH-0006,LCV,closed,6.86,2511.4,Maharashtra,owned,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
7,17,SYN-MH-0007,Mini Truck,closed,2.79,2698.0,Maharashtra,owned,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
8,3,SYN-MP-0008,Container Truck,container,13.07,17405.59,Madhya Pradesh,attached,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
9,16,SYN-GA-0009,Medium Truck,closed,7.95,9377.18,Goa,attached,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
10,5,SYN-KA-0010,Mini Truck,closed,1.21,2401.83,Karnataka,attached,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
11,12,SYN-MH-0011,LCV,closed,3.02,4428.23,Maharashtra,hired,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
12,9,SYN-GJ-0012,Medium Truck,closed,10.53,8048.79,Gujarat,owned,inactive,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
13,10,SYN-GJ-0013,LCV,closed,6.81,5413.03,Gujarat,owned,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
14,13,SYN-RJ-0014,Container Truck,container,17.12,15450.7,Rajasthan,attached,inactive,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
15,4,SYN-TS-0015,Heavy Truck,closed,17.42,14670.19,Telangana,attached,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
16,15,SYN-MH-0016,Medium Truck,closed,9.16,8771.77,Maharashtra,attached,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
17,11,SYN-MP-0017,Medium Truck,closed,9.82,5570.87,Madhya Pradesh,attached,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
18,7,SYN-TS-0018,Medium Truck,closed,11.33,5736.21,Telangana,owned,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
19,1,SYN-MH-0019,Heavy Truck,closed,17.83,10513.58,Maharashtra,attached,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
20,14,SYN-KA-0020,Container Truck,container,16.4,16196.67,Karnataka,owned,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
21,2,SYN-TN-0021,Medium Truck,closed,9.64,9378.45,Tamil Nadu,hired,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
22,18,SYN-DL-0022,Container Truck,container,12.76,20177.13,Delhi,attached,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
23,6,SYN-GJ-0023,Medium Truck,closed,9.12,7242.29,Gujarat,owned,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
24,8,SYN-MH-0024,Mini Truck,closed,2.28,1662.41,Maharashtra,hired,active,2026-01-01 00:00:00,system,2026-01-01 00:00:00,system
